Name	City	State	Enrollment	E/D Ratio	Earnings	Low Income Debt	SAT	Admission %
Raritan Valley Community College	Branchburg	NJ	7172	5.52421707838942	28400	5141	NA	NA
Germanna Community College	Locust Grove	VA	6012	5.51578947368421	26200	4750	NA	NA
Gwinnett Technical College	Lawrenceville	GA	6331	5.51462849926331	26200	4751	NA	NA
Sheridan College	Sheridan	WY	2005	5.5047619047619	28900	5250	NA	NA
The University of Texas M.D. Anderson Cancer Center	Houston	TX	316	5.496	68700	12500	NA	NA
North Central State College	Mansfield	OH	2946	5.49556035517159	22900	4167	NA	NA
Washington County Community College	Calais	ME	369	5.49029009829777	22900	4171	NA	NA
City Colleges of Chicago-Malcolm X College	Chicago	IL	4948	5.48571428571429	19200	3500	NA	NA
Odessa College	Odessa	TX	3306	5.48	27400	5000	NA	NA
Wor-Wic Community College	Salisbury	MD	3657	5.475	21900	4000	NA	NA
Wayne County Schools Career Center	Smithville	OH	334	5.47356074675007	28000	5115.5	NA	NA
Los Angeles Harbor College	Wilmington	CA	9488	5.46666666666667	24600	4500	NA	NA
Augusta Technical College	Augusta	GA	4319	5.458989679522	20100	3682	NA	NA
Los Angeles Trade Technical College	Los Angeles	CA	13555	5.45	21800	4000	NA	NA
Salt Lake Community College	Salt Lake City	UT	26212	5.44761904761905	28600	5250	NA	NA
AVTEC-Alaska's Institute of Technology	Seward	AK	607	5.44567171846905	31800	5839.5	NA	0.3654
Bennett Career Institute	Washington	DC	290	5.44367526746381	17300	3178	NA	NA
Reedley College	Reedley	CA	12140	5.42857142857143	19000	3500	NA	NA
Wilson Community College	Wilson	NC	1538	5.42857142857143	19000	3500	NA	NA
Schoolcraft College	Livonia	MI	9935	5.42222222222222	24400	4500	NA	NA
Waubonsee Community College	Sugar Grove	IL	8423	5.41052631578947	25700	4750	NA	NA
CUNY Medgar Evers College	Brooklyn	NY	6582	5.41052631578947	25700	4750	NA	0.9277
Dutchess Community College	Poughkeepsie	NY	7644	5.41052631578947	25700	4750	NA	NA
Chattahoochee Valley Community College	Phenix City	AL	1557	5.4	21600	4000	NA	NA
Rockland Community College	Suffern	NY	6915	5.4	27000	5000	NA	NA
Delta College of Arts & Technology	Baton Rouge	LA	568	5.39976825028969	23300	4315	NA	NA
American Institute of Technology	Phoenix	AZ	421	5.39312524693797	27300	5062	NA	NA
Passaic County Community College	Paterson	NJ	9257	5.38599640933573	22500	4177.5	NA	NA
Computer Tutor Business and Technical Institute	Modesto	CA	150	5.38461538461539	15400	2860	NA	NA
College of the Sequoias	Visalia	CA	10437	5.38382277176713	20900	3882	NA	NA
Renton Technical College	Renton	WA	1324	5.36188285259246	30300	5651	NA	NA
Central Carolina Technical College	Sumter	SC	4207	5.35941071882144	21100	3937	NA	NA
Ulster County Community College	Stone Ridge	NY	2295	5.35555555555556	24100	4500	NA	NA
Lamar Institute of Technology	Beaumont	TX	3282	5.35238095238095	28100	5250	NA	NA
Contra Costa College	San Pablo	CA	6323	5.35	21400	4000	NA	NA
Monroe County Community College	Monroe	MI	2778	5.33578656853726	23200	4348	NA	NA
Georgia Highlands College	Rome	GA	5362	5.31268378749265	27100	5101	NA	NA
Truckee Meadows Community College	Reno	NV	9969	5.2952380952381	27800	5250	NA	NA
Cloud County Community College	Concordia	KS	1233	5.29191215854312	24700	4667.5	NA	NA
Fox Valley Technical College	Appleton	WI	8134	5.29090909090909	29100	5500	NA	NA
Washington and Lee University	Lexington	VA	1788	5.28876258369057	54900	10380.5	1379	0.1822
Middlesex Community College	Middletown	CT	2323	5.28421052631579	25100	4750	NA	NA
Community Services Division-Alliance City	Alliance	OH	109	5.28421052631579	25100	4750	NA	NA
Palm Beach State College	Lake Worth	FL	25672	5.28	26400	5000	NA	NA
Nash Community College	Rocky Mount	NC	3435	5.27589545014521	21800	4132	NA	NA
Mt. San Antonio College	Walnut	CA	26091	5.26666666666667	23700	4500	NA	NA
Lansdale School of Business	North Wales	PA	522	5.25696351510396	26800	5098	NA	NA
Divers Academy International	ERIAL	NJ	235	5.25523470644587	38400	7307	NA	NA
Healthcare Training Institute	Union	NJ	106	5.25231719876416	25500	4855	NA	0.814
Colby Community College	Colby	KS	801	5.24781341107872	27000	5145	NA	NA
Texas Tech University Health Sciences Center	Lubbock	TX	1154	5.24	65500	12500	NA	NA
Edison State College	Fort Myers	FL	13946	5.23809523809524	27500	5250	NA	NA
Bergen Community College	Paramus	NJ	15774	5.23685788526884	26200	5003	NA	NA
Northwest Kansas Technical College	Goodland	KS	363	5.23636363636364	28800	5500	NA	NA
Lake-Sumter Community College	Leesburg	FL	3883	5.2	23400	4500	NA	NA
Diesel Driving Academy-Shreveport	Shreveport	LA	215	5.19501026369809	32900	6333	NA	NA
Thomas Edison State College	Trenton	NJ	19141	5.17103306257865	45200	8741	NA	NA
Industrial Management Training Institute	Waterbury	CT	206	5.16984706996887	38200	7389	NA	NA
Golden Gate University-San Francisco	San Francisco	CA	466	5.168	64600	12500	NA	NA
Quincy College	Quincy	MA	3852	5.15714285714286	36100	7000	NA	NA
Redlands Community College	El Reno	OK	1826	5.14285714285714	27000	5250	NA	NA
Tint School of Makeup and Cosmetology-Dallas	Dallas	TX	113	5.14285714285714	18000	3500	NA	NA
Tint School of Makeup & Cosmetology-Grand Prairie	Grand Prairie	TX	109	5.14285714285714	18000	3500	NA	NA
Ocean Corporation	Houston	TX	337	5.13684210526316	48800	9500	NA	NA
Montgomery College	Rockville	MD	20126	5.13079317015729	30500	5944.5	NA	NA
Texas Vocational Schools Inc	Victoria	TX	101	5.12820512820513	20000	3900	NA	NA
Donnelly College	Kansas City	KS	552	5.12	19200	3750	NA	NA
Conemaugh Valley Memorial Hospital	Johnstown	PA	169	5.11578947368421	48600	9500	NA	NA
Riverside City College	Riverside	CA	16357	5.11111111111111	23000	4500	NA	NA
Northern Essex Community College	Haverhill	MA	6382	5.1047619047619	26800	5250	NA	NA
Northeast Mississippi Community College	Booneville	MS	3544	5.09510869565217	22500	4416	NA	NA
Santa Monica College	Santa Monica	CA	27533	5.08888888888889	22900	4500	NA	NA
Walden University	Minneapolis	MN	8559	5.08421052631579	48300	9500	NA	NA
Meridian Community College	Meridian	MS	4019	5.07601765571358	20700	4078	NA	NA
Bowdoin College	Brunswick	ME	1772	5.07407407407407	41100	8100	1407	0.1611
College of the Canyons	Santa Clarita	CA	14188	5.07272727272727	27900	5500	NA	NA
Wharton County Junior College	Wharton	TX	6068	5.07272727272727	27900	5500	NA	NA
Southern Union State Community College	Wadley	AL	4971	5.06666666666667	22800	4500	NA	NA
Snow College	Ephraim	UT	3305	5.05827505827506	21700	4290	NA	NA
Rose State College	Midwest City	OK	7472	5.05769230769231	26300	5200	NA	NA
Rio Hondo College	Whittier	CA	16216	5.05263157894737	24000	4750	NA	NA
St Paul's School of Nursing-Queens	Flushing	NY	451	5.04666666666667	75700	15000	NA	0.4154
Kishwaukee College	Malta	IL	3705	5.04615384615385	24600	4875	NA	NA
Globe Institute of Technology	New York	NY	657	5.04347826086957	17400	3450	NA	NA
Neosho County Community College	Chanute	KS	1687	5.0394656952034	24900	4941	NA	NA
Columbia University in the City of New York	New York	NY	8127	5.032	62900	12500	1471	0.0954
Elgin Community College	Elgin	IL	8768	5.02124372344535	26000	5178	NA	NA
Grand Rapids Community College	Grand Rapids	MI	16809	5.01984339804784	23400	4661.5	NA	NA
Central Career Institute LLC	South Plainfield	NJ	141	5.01877099387473	25400	5061	NA	NA
Post University	Waterbury	CT	4465	4.99707773232028	34200	6844	837	0.7737
South University-Montgomery	Montgomery	AL	642	4.9889485317335	31600	6334	NA	0.663
South University-West Palm Beach	Royal Palm Beach	FL	893	4.9889485317335	31600	6334	NA	0.663
South University-Savannah	Savannah	GA	853	4.9889485317335	31600	6334	NA	0.663
South University-The Art Institute of Dallas	Dallas	TX	1889	4.9889485317335	31600	6334	NA	0.663
South University-Columbia	Columbia	SC	1088	4.9889485317335	31600	6334	NA	0.663
South University-Tampa	Tampa	FL	649	4.9889485317335	31600	6334	NA	0.663
South University–Richmond	Glen Allen	VA	484	4.9889485317335	31600	6334	NA	0.663
South University–Virginia Beach	Virginia Beach	VA	295	4.9889485317335	31600	6334	NA	0.663
South University-The Art Institute of Fort Worth	Fort Worth	TX	393	4.9889485317335	31600	6334	NA	0.663
South University-Novi	Novi	MI	121	4.9889485317335	31600	6334	NA	0.663
South University–Savannah Online	Savannah	GA	21213	4.9889485317335	31600	6334	NA	0.663
Southwest Wisconsin Technical College	Fennimore	WI	1422	4.98181818181818	27400	5500	NA	NA
Apollo Career Center	Lima	OH	404	4.98154981549815	27000	5420	NA	NA
Eastern Gateway Community College	Steubenville	OH	1991	4.98074454428755	19400	3895	NA	NA
Pickaway Ross Joint Vocational School District	Chillicothe	OH	373	4.97645211930926	31700	6370	NA	NA
College of the Desert	Palm Desert	CA	8420	4.9740932642487	24000	4825	NA	NA
Cecil College	North East	MD	2406	4.97332317073171	26100	5248	NA	NA
Union County College	Cranford	NJ	10839	4.97142857142857	26100	5250	NA	NA
Blackhawk Technical College	Janesville	WI	3263	4.96799464985192	26000	5233.5	NA	NA
Erie Community College	Buffalo	NY	11950	4.96327178876315	25000	5037	NA	NA
Crescent City Bartending School	New Orleans	LA	528	4.95475113122172	21900	4420	NA	NA
Cuyahoga Community College District	Cleveland	OH	15086	4.95327102803738	21200	4280	NA	NA
Delta College	University Center	MI	9599	4.95135135135135	22900	4625	NA	NA
Lehigh Carbon Community College	Schnecksville	PA	6275	4.94545454545455	27200	5500	NA	NA
Samuel Merritt University	Oakland	CA	518	4.944	92700	18750	NA	NA
Northwest Florida State College	Niceville	FL	6143	4.94156928213689	22200	4492.5	NA	NA
Texas State Technical College Harlingen	Harlingen	TX	3002	4.93333333333333	22200	4500	NA	NA
Lee College	Baytown	TX	6407	4.92173913043478	28300	5750	NA	NA
Eastern Center for Arts and Technology	Willow Grove	PA	148	4.91578947368421	46700	9500	NA	1
Eastern College of Health Vocations-Little Rock	Little Rock	AR	399	4.91428571428571	17200	3500	NA	NA
Eastern College of Health Vocations-New Orleans	New Orleans	LA	288	4.91428571428571	17200	3500	NA	NA
Sowela Technical Community College	Lake Charles	LA	2402	4.91360691144708	27300	5556	NA	NA
Bates College	Lewiston	ME	1769	4.91135915955351	37400	7615	NA	0.2689
McHenry County College	Crystal Lake	IL	5101	4.90995260663507	25900	5275	NA	NA
Long Island Business Institute	Flushing	NY	535	4.90496627835684	16000	3262	NA	NA
Illinois Eastern Community Colleges-Frontier Community Coll	Fairfield	IL	500	4.9	19600	4000	NA	NA
John C Calhoun State Community College	Tanner	AL	11134	4.89226605600083	23500	4803.5	NA	NA
Grace Bible College	Wyoming	MI	340	4.89090909090909	26900	5500	NA	0.8087
Hawaii Institute of Hair Design	Honolulu	HI	106	4.88571428571429	17100	3500	NA	NA
Southeastern Technical College	Vidalia	GA	1609	4.88571428571429	17100	3500	NA	NA
Miami Valley Career Technology Center	Clayton	OH	334	4.88341399032116	33300	6819	NA	NA
CUNY Graduate School and University Center	New York	NY	1034	4.88235294117647	41500	8500	NA	1
AmeriTech College-Draper	Draper	UT	596	4.88145048814505	24500	5019	NA	0.5
Burlington County College	Pemberton	NJ	9341	4.87272727272727	26800	5500	NA	NA
Ocean County Vocational-Technical School	Toms River	NJ	581	4.87272727272727	26800	5500	NA	NA
Leeward Community College	Pearl City	HI	5759	4.87163937740044	24100	4947	NA	NA
National Tractor Trailer School Inc-Liverpool	Liverpool	NY	166	4.87038491751767	31000	6365	NA	NA
National Tractor Trailer School Inc-Buffalo	Buffalo	NY	137	4.87038491751767	31000	6365	NA	NA
St Charles Community College	Cottleville	MO	7445	4.87016075335299	25600	5256.5	NA	NA
O C Collins Career Center	Chesapeake	OH	508	4.86818832645498	28900	5936.5	NA	NA
Abington Memorial Hospital Dixon School of Nursing	Willow Grove	PA	231	4.86530612244898	59600	12250	NA	NA
Copiah-Lincoln Community College	Wesson	MS	3506	4.86363636363636	21400	4400	NA	NA
Bucks County Community College	Newtown	PA	9833	4.85	29100	6000	NA	NA
Ranger College	Ranger	TX	1636	4.8471615720524	22200	4580	NA	NA
Gulf Coast State College	Panama City	FL	5627	4.84210526315789	23000	4750	NA	NA
John Wood Community College	Quincy	IL	2014	4.84210526315789	23000	4750	NA	NA
Connecticut College	New London	CT	1781	4.84108890974923	36100	7457	NA	0.3165
CUNY Hostos Community College	Bronx	NY	6480	4.82978723404255	22700	4700	NA	NA
Estrella Mountain Community College	Avondale	AZ	7061	4.82530604950407	27000	5595.5	NA	NA
Lancaster School of Cosmetology	Lancaster	PA	183	4.8125498537623	18100	3761	NA	NA
Butler Tech-D Russel Lee Career Center	Hamilton	OH	266	4.81203007518797	32000	6650	NA	NA
Highland Community College	Freeport	IL	1959	4.81137233460908	22000	4572.5	NA	NA
Triton College	River Grove	IL	9957	4.8	25200	5250	NA	NA
Frederick Community College	Frederick	MD	5599	4.8	28800	6000	NA	NA
Tri-Rivers Career Center	Marion	OH	237	4.78891820580475	36300	7580	NA	NA
Hagerstown Community College	Hagerstown	MD	4216	4.78181818181818	26300	5500	NA	NA
Howard College	Big Spring	TX	4477	4.7808764940239	25200	5271	NA	NA
